origin,destination,cost,duration,distance
Daytona Beach,Providence,,17 hours 58 mins,"1,932 km"
Tampa,Cleveland,,16 hours 15 mins,"1,760 km"
Cleveland,Tampa,,16 hours 12 mins,"1,758 km"
Cincinnati,Charleston,,9 hours 20 mins,"1,000 km"
Cincinnati,Hilton Head,,9 hours 57 mins,"1,061 km"
Cincinnati,Greer,,6 hours 28 mins,670 km
Cincinnati,Greenville,,6 hours 29 mins,671 km
Cincinnati,Myrtle Beach,,10 hours 11 mins,"1,062 km"
Charleston,Cincinnati,,9 hours 23 mins,"1,000 km"
Hilton Head,Cincinnati,,9 hours 59 mins,"1,061 km"
Greer,Cincinnati,,6 hours 30 mins,669 km
Greenville,Cincinnati,,6 hours 30 mins,669 km
Myrtle Beach,Cincinnati,,10 hours 12 mins,"1,061 km"
New York,Minneapolis,,18 hours 2 mins,"1,927 km"
Minneapolis,New York,,17 hours 57 mins,"1,934 km"
Billings,Minneapolis,,11 hours 53 mins,"1,349 km"
Minneapolis,Billings,,11 hours 56 mins,"1,352 km"
Akron,Tampa,,15 hours 37 mins,"1,701 km"
Tampa,Akron,,15 hours 40 mins,"1,702 km"
Dallas,Daytona Beach,,15 hours 55 mins,"1,747 km"
Daytona Beach,Dallas,,15 hours 52 mins,"1,740 km"
St. Cloud,Daytona Beach,,23 hours 35 mins,"2,624 km"
Daytona Beach,St. Cloud,,23 hours 37 mins,"2,620 km"
Trenton,Daytona Beach,,14 hours 17 mins,"1,570 km"
Daytona Beach,Trenton,,14 hours 12 mins,"1,551 km"
Sioux Falls,Minneapolis,,3 hours 48 mins,383 km
Minneapolis,Sioux Falls,,3 hours 45 mins,381 km
Greensboro,Daytona Beach,,8 hours 9 mins,875 km
Daytona Beach,Greensboro,,8 hours 5 mins,877 km
Oklahoma City,Daytona Beach,,18 hours 35 mins,"2,069 km"
Daytona Beach,Oklahoma City,,18 hours 30 mins,"2,074 km"
Minneapolis,Green Bay,,4 hours 16 mins,447 km
Minneapolis,Rhinelander,,3 hours 43 mins,389 km
Minneapolis,Marquette,,4 hours 53 mins,539 km
Minneapolis,Madison,,4 hours 7 mins,432 km
Minneapolis,La Crosse,,2 hours 33 mins,255 km
Minneapolis,Devils Lake,,3 hours 30 mins,374 km
Minneapolis,Appleton,,4 hours 20 mins,457 km
Minneapolis,Mosinee,,2 hours 57 mins,303 km
Minneapolis,Milwaukee,,4 hours 56 mins,542 km
Minneapolis,Eau Claire,,1 hour 34 mins,148 km
Green Bay,Minneapolis,,4 hours 14 mins,449 km
Rhinelander,Minneapolis,,3 hours 43 mins,390 km
Marquette,Minneapolis,,4 hours 55 mins,541 km
Madison,Minneapolis,,4 hours 10 mins,434 km
La Crosse,Minneapolis,,2 hours 32 mins,256 km
Devils Lake,Minneapolis,,3 hours 33 mins,376 km
Appleton,Minneapolis,,4 hours 17 mins,456 km
Mosinee,Minneapolis,,2 hours 56 mins,304 km
Milwaukee,Minneapolis,,4 hours 57 mins,543 km
Eau Claire,Minneapolis,,1 hour 33 mins,149 km
Dayton,Sarasota,,14 hours 47 mins,"1,644 km"
Dayton,Fort Myers,,15 hours 45 mins,"1,749 km"
Dayton,Gainesville,,12 hours 23 mins,"1,359 km"
Dayton,Orlando,,13 hours 47 mins,"1,532 km"
Dayton,Daytona Beach,,13 hours 51 mins,"1,502 km"
Dayton,Jacksonville,,12 hours 26 mins,"1,348 km"
Dayton,Tampa,,14 hours 0 mins,"1,559 km"
Dayton,Panama City,,12 hours 12 mins,"1,258 km"
Dayton,Key West,,19 hours 59 mins,"2,146 km"
Dayton,West Palm Beach,,16 hours 1 min,"1,787 km"
Dayton,Miami,,16 hours 59 mins,"1,892 km"
Dayton,Tallahassee,,11 hours 49 mins,"1,258 km"
Dayton,Punta Gorda,,15 hours 19 mins,"1,714 km"
Dayton,Fort Lauderdale,,16 hours 38 mins,"1,855 km"
Dayton,Pensacola,,11 hours 24 mins,"1,236 km"
Sarasota,Dayton,,14 hours 46 mins,"1,645 km"
Fort Myers,Dayton,,15 hours 42 mins,"1,751 km"
Gainesville,Dayton,,12 hours 21 mins,"1,359 km"
Orlando,Dayton,,13 hours 43 mins,"1,531 km"
Daytona Beach,Dayton,,13 hours 49 mins,"1,522 km"
Jacksonville,Dayton,,12 hours 28 mins,"1,349 km"
Tampa,Dayton,,13 hours 57 mins,"1,560 km"
Panama City,Dayton,,12 hours 12 mins,"1,253 km"
Key West,Dayton,,19 hours 58 mins,"2,146 km"
West Palm Beach,Dayton,,15 hours 58 mins,"1,789 km"
Miami,Dayton,,16 hours 55 mins,"1,895 km"
Tallahassee,Dayton,,11 hours 48 mins,"1,258 km"
Punta Gorda,Dayton,,15 hours 17 mins,"1,715 km"
Fort Lauderdale,Dayton,,16 hours 36 mins,"1,857 km"
Pensacola,Dayton,,11 hours 19 mins,"1,234 km"
Cleveland,Alamosa,,22 hours 4 mins,"2,393 km"
Cleveland,Grand Junction,,22 hours 56 mins,"2,527 km"
Cleveland,Durango,,1 day 1 hour,"2,633 km"
Cleveland,Colorado Springs,,20 hours 14 mins,"2,256 km"
Cleveland,Gunnison,,22 hours 41 mins,"2,458 km"
Cleveland,Denver,,19 hours 19 mins,"2,141 km"
Alamosa,Cleveland,,22 hours 1 min,"2,395 km"
Grand Junction,Cleveland,,22 hours 53 mins,"2,530 km"
Durango,Cleveland,,1 day 1 hour,"2,635 km"
Colorado Springs,Cleveland,,20 hours 12 mins,"2,257 km"
Gunnison,Cleveland,,22 hours 39 mins,"2,462 km"
Denver,Cleveland,,19 hours 20 mins,"2,147 km"
Rochester,Minneapolis,,15 hours 2 mins,"1,625 km"
Minneapolis,Rochester,,14 hours 59 mins,"1,633 km"
Washington,Minneapolis,,16 hours 41 mins,"1,776 km"
Minneapolis,Washington,,16 hours 50 mins,"1,783 km"
Elmira,Daytona Beach,,16 hours 25 mins,"1,752 km"
Daytona Beach,Elmira,,16 hours 14 mins,"1,732 km"
Moline,Daytona Beach,,17 hours 50 mins,"1,964 km"
Daytona Beach,Moline,,17 hours 48 mins,"1,958 km"
La Crosse,Minneapolis,,2 hours 32 mins,256 km
Minneapolis,La Crosse,,2 hours 33 mins,255 km
Cincinnati,Greensboro,,7 hours 6 mins,707 km
Cincinnati,Wilmington,,9 hours 59 mins,"1,034 km"
Cincinnati,New Bern,,9 hours 59 mins,"1,012 km"
Cincinnati,Charlotte,,7 hours 24 mins,743 km
Cincinnati,Raleigh,,8 hours 16 mins,827 km
Cincinnati,Asheville,,5 hours 32 mins,587 km
Cincinnati,Fayetteville,,8 hours 36 mins,852 km
Greensboro,Cincinnati,,7 hours 6 mins,706 km
Wilmington,Cincinnati,,9 hours 59 mins,"1,033 km"
New Bern,Cincinnati,,9 hours 59 mins,"1,011 km"
Charlotte,Cincinnati,,7 hours 26 mins,744 km
Raleigh,Cincinnati,,8 hours 14 mins,826 km
Asheville,Cincinnati,,5 hours 33 mins,586 km
Fayetteville,Cincinnati,,8 hours 37 mins,852 km
Washington,Cincinnati,,7 hours 55 mins,808 km
Cincinnati,Washington,,8 hours 5 mins,805 km
Orlando,Columbus,,14 hours 0 mins,"1,524 km"
Columbus,Orlando,,14 hours 6 mins,"1,526 km"
Islip,Daytona Beach,,16 hours 2 mins,"1,736 km"
Daytona Beach,Islip,,15 hours 57 mins,"1,719 km"
Missoula,Minneapolis,,16 hours 43 mins,"1,901 km"
Minneapolis,Missoula,,16 hours 46 mins,"1,902 km"
Richmond,Daytona Beach,,9 hours 55 mins,"1,117 km"
Daytona Beach,Richmond,,9 hours 51 mins,"1,105 km"
White Plains,Daytona Beach,,15 hours 39 mins,"1,711 km"
Daytona Beach,White Plains,,15 hours 34 mins,"1,693 km"
Minot,Minneapolis,,7 hours 30 mins,803 km
Minneapolis,Minot,,7 hours 31 mins,803 km
Toledo,Sarasota,,16 hours 53 mins,"1,882 km"
Toledo,Fort Myers,,17 hours 50 mins,"1,988 km"
Toledo,Gainesville,,14 hours 29 mins,"1,598 km"
Toledo,Orlando,,15 hours 53 mins,"1,770 km"
Toledo,Daytona Beach,,15 hours 43 mins,"1,676 km"
Toledo,Jacksonville,,14 hours 18 mins,"1,522 km"
Toledo,Tampa,,16 hours 5 mins,"1,798 km"
Toledo,Panama City,,14 hours 18 mins,"1,497 km"
Toledo,Key West,,22 hours 5 mins,"2,384 km"
Toledo,West Palm Beach,,18 hours 6 mins,"2,026 km"
Toledo,Miami,,19 hours 5 mins,"2,131 km"
Toledo,Tallahassee,,13 hours 55 mins,"1,496 km"
Toledo,Punta Gorda,,17 hours 25 mins,"1,952 km"
Toledo,Fort Lauderdale,,18 hours 44 mins,"2,094 km"
Toledo,Pensacola,,13 hours 30 mins,"1,474 km"
Sarasota,Toledo,,16 hours 51 mins,"1,883 km"
Fort Myers,Toledo,,17 hours 48 mins,"1,989 km"
Gainesville,Toledo,,14 hours 27 mins,"1,598 km"
Orlando,Toledo,,15 hours 49 mins,"1,769 km"
Daytona Beach,Toledo,,15 hours 39 mins,"1,671 km"
Jacksonville,Toledo,,14 hours 16 mins,"1,529 km"
Tampa,Toledo,,16 hours 3 mins,"1,798 km"
Panama City,Toledo,,14 hours 18 mins,"1,492 km"
Key West,Toledo,,22 hours 4 mins,"2,384 km"
West Palm Beach,Toledo,,18 hours 4 mins,"2,027 km"
Miami,Toledo,,19 hours 1 min,"2,133 km"
Tallahassee,Toledo,,13 hours 54 mins,"1,496 km"
Punta Gorda,Toledo,,17 hours 23 mins,"1,953 km"
Fort Lauderdale,Toledo,,18 hours 42 mins,"2,095 km"
Pensacola,Toledo,,13 hours 25 mins,"1,472 km"
St. Petersburg,Cincinnati,,,
Cincinnati,St. Petersburg,,,
Charlotte,Toledo,,8 hours 54 mins,915 km
Charlotte,Cleveland,,7 hours 51 mins,829 km
Charlotte,Dayton,,7 hours 6 mins,735 km
Charlotte,Columbus,,6 hours 41 mins,685 km
Charlotte,Akron,,7 hours 16 mins,771 km
Charlotte,Cincinnati,,7 hours 26 mins,744 km
Toledo,Charlotte,,8 hours 57 mins,908 km
Cleveland,Charlotte,,7 hours 48 mins,828 km
Dayton,Charlotte,,7 hours 5 mins,734 km
Columbus,Charlotte,,6 hours 42 mins,684 km
Akron,Charlotte,,7 hours 13 mins,771 km
Cincinnati,Charlotte,,7 hours 24 mins,743 km
Minneapolis,Twin Falls,,19 hours 35 mins,"2,147 km"
Minneapolis,Pocatello,,18 hours 3 mins,"1,973 km"
Minneapolis,Idaho Falls,,17 hours 20 mins,"1,891 km"
Minneapolis,Sun Valley,,19 hours 45 mins,"2,169 km"
Minneapolis,Boise,,21 hours 6 mins,"2,336 km"
Minneapolis,Lewiston,,22 hours 28 mins,"2,453 km"
Twin Falls,Minneapolis,,19 hours 30 mins,"2,145 km"
Pocatello,Minneapolis,,17 hours 59 mins,"1,972 km"
Idaho Falls,Minneapolis,,17 hours 15 mins,"1,891 km"
Sun Valley,Minneapolis,,19 hours 43 mins,"2,168 km"
Boise,Minneapolis,,21 hours 5 mins,"2,335 km"
Lewiston,Minneapolis,,22 hours 33 mins,"2,448 km"
New York,Daytona Beach,,15 hours 12 mins,"1,662 km"
Daytona Beach,New York,,15 hours 7 mins,"1,642 km"
