Corrupted rows - age vs hh-size:
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 43    | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 50    | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 18 - 24 years        | HH-Size: 57    | howmany: 2
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 32    | howmany: 3
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 49    | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 39    | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 53    | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 49    | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 47    | howmany: nan
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 57    | howmany: nan
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 3
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 53    | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
