Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 3372: (None, None, 3364, 1682, 1, 2, 6, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3373: (None, None, 3365, 1683, 3, 2, 5, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3374: (None, None, 3366, 1683, 1, 6, 5, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3375: (None, None, 3367, 1684, 6, 3, 5, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3376: (None, None, 3368, 1684, 5, 3, 2, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3377: (None, None, 3369, 1685, 1, 2, 6, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3378: (None, None, 3370, 1685, 2, 3, 3, 5, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3379: (None, None, 3371, 1686, 1, 6, 6, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3380: (None, None, 3372, 1686, 2, 6, 2, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3381: (None, None, 3373, 1687, 4, 4, 4, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3382: (None, None, 3374, 1687, 2, 5, 6, 2, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3383: (None, None, 3375, 1688, 3, 1, 5, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3384: (None, None, 3376, 1688, 5, 3, 6, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3385: (None, None, 3377, 1689, 1, 1, 3, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3386: (None, None, 3378, 1689, 1, 5, 4, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3387: (None, None, 3379, 1690, 1, 3, 5, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3388: (None, None, 3380, 1690, 2, 2, 4, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3389: (None, None, 3381, 1691, 1, 1, 2, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3390: (None, None, 3382, 1691, 3, 1, 4, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3391: (None, None, 3383, 1692, 4, 4, 3, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3392: (None, None, 3384, 1692, 4, 4, 6, 3, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3393: (None, None, 3385, 1693, 1, 4, 2, 6, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3394: (None, None, 3386, 1693, 2, 1, 3, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3395: (None, None, 3387, 1694, 5, 5, 2, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3396: (None, None, 3388, 1694, 5, 4, 1, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3397: (None, None, 3389, 1695, 1, 2, 5, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3398: (None, None, 3390, 1695, 1, 3, 1, 5, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3399: (None, None, 3391, 1696, 2, 4, 2, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3400: (None, None, 3392, 1696, 2, 6, 6, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3401: (None, None, 3393, 1697, 2, 3, 4, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3402: (None, None, 3394, 1697, 6, 3, 6, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3403: (None, None, 3395, 1698, 2, 5, 5, 3, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3404: (None, None, 3396, 1698, 5, 6, 2, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3405: (None, None, 3397, 1699, 1, 3, 2, 5, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3406: (None, None, 3398, 1699, 4, 2, 4, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3407: (None, None, 3399, 1700, 6, 5, 3, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3408: (None, None, 3400, 1700, 4, 4, 5, 2, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3409: (None, None, 3401, 1701, 5, 2, 2, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3410: (None, None, 3402, 1701, 3, 5, 1, 3, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3411: (None, None, 3403, 1702, 5, 5, 2, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3412: (None, None, 3404, 1702, 6, 2, 3, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3413: (None, None, 3405, 1703, 6, 1, 3, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3414: (None, None, 3406, 1703, 5, 3, 3, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3415: (None, None, 3407, 1704, 1, 5, 2, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3416: (None, None, 3408, 1704, 2, 1, 6, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3417: (None, None, 3409, 1705, 1, 3, 5, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3418: (None, None, 3410, 1705, 6, 3, 1, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3419: (None, None, 3411, 1706, 5, 6, 6, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3420: (None, None, 3412, 1706, 3, 5, 6, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3421: (None, None, 3413, 1707, 5, 2, 6, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3422: (None, None, 3414, 1707, 3, 3, 2, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3423: (None, None, 3415, 1708, 6, 4, 4, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3424: (None, None, 3416, 1708, 4, 4, 1, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3425: (None, None, 3417, 1709, 3, 4, 2, 3, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3426: (None, None, 3418, 1709, 1, 3, 6, 3, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3427: (None, None, 3419, 1710, 1, 5, 3, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3428: (None, None, 3420, 1710, 3, 5, 6, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3429: (None, None, 3421, 1711, 6, 5, 6, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3430: (None, None, 3422, 1711, 6, 6, 5, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3431: (None, None, 3423, 1712, 4, 2, 4, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3432: (None, None, 3424, 1712, 3, 4, 3, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3433: (None, None, 3425, 1713, 3, 2, 5, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3434: (None, None, 3426, 1713, 3, 1, 5, 1, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3435: (None, None, 3427, 1714, 3, 3, 6, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3436: (None, None, 3428, 1714, 3, 1, 1, 3, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3437: (None, None, 3429, 1715, 5, 6, 3, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3438: (None, None, 3430, 1715, 3, 1, 3, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3439: (None, None, 3431, 1716, 6, 4, 4, 2, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3440: (None, None, 3432, 1716, 2, 3, 6, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3441: (None, None, 3433, 1717, 5, 1, 2, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3442: (None, None, 3434, 1717, 2, 6, 1, 5, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3443: (None, None, 3435, 1718, 4, 6, 1, 5, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3444: (None, None, 3436, 1718, 1, 3, 3, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3445: (None, None, 3437, 1719, 4, 3, 2, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3446: (None, None, 3438, 1719, 5, 2, 1, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3447: (None, None, 3439, 1720, 6, 5, 2, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3448: (None, None, 3440, 1720, 1, 6, 6, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3449: (None, None, 3441, 1721, 4, 5, 3, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3450: (None, None, 3442, 1721, 3, 6, 6, 5, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3451: (None, None, 3443, 1722, 4, 1, 2, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3452: (None, None, 3444, 1722, 6, 2, 6, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3453: (None, None, 3445, 1723, 2, 1, 5, 5, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3454: (None, None, 3446, 1723, 4, 6, 2, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3455: (None, None, 3447, 1724, 5, 1, 6, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3456: (None, None, 3448, 1724, 3, 6, 3, 1, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3457: (None, None, 3449, 1725, 5, 3, 6, 4, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3458: (None, None, 3450, 1725, 4, 2, 5, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3459: (None, None, 3451, 1726, 5, 4, 4, 2, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3460: (None, None, 3452, 1726, 6, 5, 6, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3461: (None, None, 3453, 1727, 3, 3, 1, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3462: (None, None, 3454, 1727, 5, 2, 1, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3463: (None, None, 3455, 1728, 4, 1, 5, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3464: (None, None, 3456, 1728, 3, 5, 1, 5, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3465: (None, None, 3457, 1729, 1, 6, 3, 1, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3466: (None, None, 3458, 1729, 4, 1, 3, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3467: (None, None, 3459, 1730, 5, 4, 1, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3468: (None, None, 3460, 1730, 6, 3, 2, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3469: (None, None, 3461, 1731, 1, 3, 5, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3470: (None, None, 3462, 1731, 4, 1, 3, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3471: (None, None, 3463, 1732, 1, 6, 2, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3472: (None, None, 3464, 1732, 5, 1, 4, 4, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3473: (None, None, 3465, 1733, 5, 1, 5, 3, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3474: (None, None, 3466, 1733, 3, 3, 3, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3475: (None, None, 3467, 1734, 1, 6, 1, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3476: (None, None, 3468, 1734, 6, 3, 2, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3477: (None, None, 3469, 1735, 3, 3, 2, 1, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3478: (None, None, 3470, 1735, 2, 6, 2, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3479: (None, None, 3471, 1736, 2, 4, 1, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3480: (None, None, 3472, 1736, 4, 4, 4, 3, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3481: (None, None, 3473, 1737, 1, 4, 5, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3482: (None, None, 3474, 1737, 4, 5, 2, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3483: (None, None, 3475, 1738, 4, 3, 4, 3, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3484: (None, None, 3476, 1738, 2, 2, 4, 4, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3485: (None, None, 3477, 1739, 6, 2, 1, 1, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3486: (None, None, 3478, 1739, 1, 1, 5, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3487: (None, None, 3479, 1740, 3, 1, 3, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3488: (None, None, 3480, 1740, 1, 5, 3, 5, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3489: (None, None, 3481, 1741, 5, 2, 3, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3490: (None, None, 3482, 1741, 6, 2, 6, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3491: (None, None, 3483, 1742, 3, 2, 1, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3492: (None, None, 3484, 1742, 6, 4, 5, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3493: (None, None, 3485, 1743, 3, 4, 5, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3494: (None, None, 3486, 1743, 1, 4, 2, 2, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3495: (None, None, 3487, 1744, 5, 2, 4, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3496: (None, None, 3488, 1744, 3, 6, 6, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3497: (None, None, 3489, 1745, 4, 3, 1, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3498: (None, None, 3490, 1745, 6, 2, 3, 6, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3499: (None, None, 3491, 1746, 3, 1, 4, 1, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3500: (None, None, 3492, 1746, 6, 4, 4, 3, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3501: (None, None, 3493, 1747, 3, 3, 3, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3502: (None, None, 3494, 1747, 2, 3, 1, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3503: (None, None, 3495, 1748, 4, 6, 5, 6, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3504: (None, None, 3496, 1748, 6, 2, 1, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3505: (None, None, 3497, 1749, 3, 2, 6, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3506: (None, None, 3498, 1749, 5, 1, 1, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3507: (None, None, 3499, 1750, 1, 1, 6, 4, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3508: (None, None, 3500, 1750, 4, 5, 3, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3509: (None, None, 3501, 1751, 5, 3, 3, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3510: (None, None, 3502, 1751, 6, 6, 4, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3511: (None, None, 3503, 1752, 1, 4, 6, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3512: (None, None, 3504, 1752, 5, 5, 2, 4, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3513: (None, None, 3505, 1753, 2, 1, 2, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3514: (None, None, 3506, 1753, 3, 6, 3, 1, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3515: (None, None, 3507, 1754, 1, 2, 2, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3516: (None, None, 3508, 1754, 1, 5, 5, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3517: (None, None, 3509, 1755, 6, 1, 2, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3518: (None, None, 3510, 1755, 1, 4, 4, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3519: (None, None, 3511, 1756, 5, 3, 3, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3520: (None, None, 3512, 1756, 3, 2, 3, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3521: (None, None, 3513, 1757, 3, 3, 1, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3522: (None, None, 3514, 1757, 4, 2, 3, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3523: (None, None, 3515, 1758, 1, 1, 4, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3524: (None, None, 3516, 1758, 1, 4, 1, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3525: (None, None, 3517, 1759, 4, 5, 4, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3526: (None, None, 3518, 1759, 3, 5, 6, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3527: (None, None, 3519, 1760, 1, 6, 2, 4, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3528: (None, None, 3520, 1760, 2, 2, 1, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3529: (None, None, 3521, 1761, 6, 6, 4, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3530: (None, None, 3522, 1761, 5, 6, 3, 1, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3531: (None, None, 3523, 1762, 4, 3, 6, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3532: (None, None, 3524, 1762, 1, 6, 3, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3533: (None, None, 3525, 1763, 3, 2, 3, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3534: (None, None, 3526, 1763, 6, 6, 6, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3535: (None, None, 3527, 1764, 5, 1, 5, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3536: (None, None, 3528, 1764, 1, 1, 4, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3537: (None, None, 3529, 1765, 2, 3, 6, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3538: (None, None, 3530, 1765, 6, 3, 1, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3539: (None, None, 3531, 1766, 3, 6, 2, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3540: (None, None, 3532, 1766, 4, 3, 1, 3, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3541: (None, None, 3533, 1767, 3, 6, 2, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3542: (None, None, 3534, 1767, 4, 5, 3, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3543: (None, None, 3535, 1768, 6, 6, 4, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3544: (None, None, 3536, 1768, 6, 5, 3, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3545: (None, None, 3537, 1769, 4, 5, 5, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3546: (None, None, 3538, 1769, 3, 3, 4, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3547: (None, None, 3539, 1770, 5, 4, 1, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3548: (None, None, 3540, 1770, 2, 5, 1, 5, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3549: (None, None, 3541, 1771, 5, 4, 4, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3550: (None, None, 3542, 1771, 1, 6, 2, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3551: (None, None, 3543, 1772, 4, 5, 3, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3552: (None, None, 3544, 1772, 4, 1, 1, 3, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3553: (None, None, 3545, 1773, 6, 1, 3, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3554: (None, None, 3546, 1773, 4, 5, 2, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3555: (None, None, 3547, 1774, 2, 2, 4, 3, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3556: (None, None, 3548, 1774, 3, 1, 2, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3557: (None, None, 3549, 1775, 6, 5, 2, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3558: (None, None, 3550, 1775, 5, 3, 1, 6, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3559: (None, None, 3551, 1776, 5, 4, 4, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3560: (None, None, 3552, 1776, 6, 4, 1, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3561: (None, None, 3553, 1777, 3, 5, 6, 1, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3562: (None, None, 3554, 1777, 3, 5, 5, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3563: (None, None, 3555, 1778, 6, 2, 1, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3564: (None, None, 3556, 1778, 2, 3, 5, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3565: (None, None, 3557, 1779, 6, 2, 3, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3566: (None, None, 3558, 1779, 1, 5, 4, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3567: (None, None, 3559, 1780, 4, 2, 2, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3568: (None, None, 3560, 1780, 2, 5, 5, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3569: (None, None, 3561, 1781, 6, 1, 3, 6, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3570: (None, None, 3562, 1781, 2, 3, 4, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3571: (None, None, 3563, 1782, 6, 5, 2, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3572: (None, None, 3564, 1782, 4, 1, 4, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3573: (None, None, 3565, 1783, 3, 6, 3, 3, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3574: (None, None, 3566, 1783, 1, 1, 4, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3575: (None, None, 3567, 1784, 2, 3, 6, 3, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3576: (None, None, 3568, 1784, 6, 6, 6, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3577: (None, None, 3569, 1785, 3, 3, 3, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3578: (None, None, 3570, 1785, 3, 2, 3, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3579: (None, None, 3571, 1786, 3, 4, 2, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3580: (None, None, 3572, 1786, 3, 6, 6, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3581: (None, None, 3573, 1787, 3, 5, 5, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3582: (None, None, 3574, 1787, 1, 5, 4, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3583: (None, None, 3575, 1788, 1, 4, 2, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3584: (None, None, 3576, 1788, 4, 2, 3, 1, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3585: (None, None, 3577, 1789, 2, 5, 2, 3, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3586: (None, None, 3578, 1789, 2, 5, 3, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3587: (None, None, 3579, 1790, 3, 5, 3, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3588: (None, None, 3580, 1790, 5, 4, 3, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3589: (None, None, 3581, 1791, 6, 2, 5, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3590: (None, None, 3582, 1791, 5, 6, 4, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3591: (None, None, 3583, 1792, 5, 3, 6, 1, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3592: (None, None, 3584, 1792, 3, 4, 3, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3593: (None, None, 3585, 1793, 6, 5, 5, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3594: (None, None, 3586, 1793, 1, 5, 4, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3595: (None, None, 3587, 1794, 3, 1, 1, 6, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3596: (None, None, 3588, 1794, 5, 6, 5, 6, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3597: (None, None, 3589, 1795, 2, 3, 5, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3598: (None, None, 3590, 1795, 4, 6, 4, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3599: (None, None, 3591, 1796, 6, 6, 6, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3600: (None, None, 3592, 1796, 4, 4, 6, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3601: (None, None, 3593, 1797, 4, 1, 5, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3602: (None, None, 3594, 1797, 4, 5, 6, 2, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
